Title,Production Budget,Release Date
The Skulls,"$15,000,000",Mar 31 2000
Sky High,"$60,000,000",Jul 29 2005
Slackers,"$11,000,000",Feb 01 2002
Ready to Rumble,"$24,000,000",Apr 07 2000
Soldier,"$75,000,000",Oct 23 1998
Sleepy Hollow,"$70,000,000",Nov 19 1999
Lucky Number Slevin,"$27,000,000",Apr 07 2006
The Secret Life of Bees,"$11,000,000",Oct 17 2008
Hannibal,"$87,000,000",Feb 09 2001
Southland Tales,"$17,000,000",Nov 14 2007
Slow Burn,"$15,500,000",Apr 13 2007
Sleepover,"$10,000,000",Jul 09 2004
The Bridge of San Luis Rey,"$24,000,000",Jun 10 2005
Slither,"$15,250,000",Mar 31 2006
Slumdog Millionaire,"$14,000,000",Nov 12 2008
Slums of Beverly Hills,"$5,000,000",Aug 14 1998
Small Soldiers,"$40,000,000",Jul 10 1998
Mr. And Mrs. Smith,"$110,000,000",Jun 10 2005
Smokin' Aces,"$17,000,000",Jan 26 2007
Someone Like You,"$23,000,000",Mar 30 2001
Death to Smoochy,"$50,000,000",Mar 29 2002
Simply Irresistible,"$6,000,000",Feb 05 1999
Summer Catch,"$17,000,000",Aug 24 2001
There's Something About Mary,"$22,000,000",Jul 15 1998
Snake Eyes,"$73,000,000",Aug 07 1998
Snakes on a Plane,"$33,000,000",Aug 18 2006
Lemony Snicket's A Series of Unfortunate Events,"$100,000,000",Dec 17 2004
House of Sand and Fog,"$16,500,000",Dec 19 2003
A Sound of Thunder,"$80,000,000",Sep 02 2005
See No Evil,"$8,000,000",May 19 2006
The Shipping News,"$35,000,000",Dec 25 2001
Shanghai Knights,"$50,000,000",Feb 07 2003
Shanghai Noon,"$55,000,000",May 26 2000
Snow Dogs,"$32,000,000",Jan 18 2002
Snow Falling on Cedars,"$36,000,000",Dec 24 1999
Sunshine,"$40,000,000",Jul 20 2007
Snatch,"$10,000,000",Dec 08 2000
Snow Day,"$13,000,000",Feb 11 2000
Sorority Boys,"$12,000,000",Mar 22 2002
Solaris,"$47,000,000",Nov 27 2002
Solitary Man,"$12,500,000",May 21 2010
The Soloist,"$60,000,000",Apr 24 2009
Songcatcher,"$1,800,000",Jun 15 2001
Sonny,"$4,000,000",Dec 27 2002
Standard Operating Procedure,"$5,000,000",Apr 25 2008
The Sorcerer's Apprentice,"$160,000,000",Jul 14 2010
Soul Food,"$7,500,000",Sep 26 1997
Soul Plane,"$16,000,000",May 28 2004
"South Park: Bigger, Longer & Uncut","$21,000,000",Jun 30 1999
Space Jam,"$80,000,000",Nov 15 1996
Spanglish,"$75,000,000",Dec 17 2004
Spawn,"$40,000,000",Jul 31 1997
Superbad,"$17,500,000",Aug 17 2007
SpongeBob SquarePants,"$30,000,000",Nov 19 2004
Space Chimps,"$37,000,000",Jul 18 2008
Space Cowboys,"$65,000,000",Aug 04 2000
Spider,"$10,000,000",Feb 28 2003
Speed Racer,"$120,000,000",May 09 2008
The Spiderwick Chronicles,"$92,500,000",Feb 14 2008
Speedway Junky,"$1,000,000",Aug 31 2001
Speed II: Cruise Control,"$110,000,000",Jun 13 1997
Sphere,"$73,000,000",Feb 13 1998
Spiceworld,"$25,000,000",Jan 23 1998
Spider-Man 2,"$200,000,000",Jun 30 2004
Spider-Man 3,"$258,000,000",May 04 2007
Spider-Man,"$139,000,000",May 03 2002
Scott Pilgrim vs. The World,"$85,000,000",Aug 13 2010
See Spot Run,"$16,000,000",Mar 02 2001
Superman Returns,"$232,000,000",Jun 28 2006
Supernova,"$60,000,000",Jan 14 2000
Spirited Away,"$19,000,000",Sep 20 2002
Spun,"$4,500,000",Mar 14 2003
Spy Game,"$90,000,000",Nov 21 2001
Spy Kids 2: The Island of Lost Dreams,"$38,000,000",Aug 07 2002
Spy Kids 3-D: Game Over,"$40,000,000",Jul 25 2003
Spy Kids,"$35,000,000",Mar 30 2001
The Square,"$1,900,000",Apr 09 2010
The Squid and the Whale,"$1,500,000",Oct 05 2005
Serendipity,"$28,000,000",Oct 05 2001
Saint Ralph,"$5,200,000",Aug 05 2005
Shaolin Soccer,"$10,000,000",Apr 02 2004
Superstar,"$14,000,000",Oct 08 1999
Soul Survivors,"$14,000,000",Sep 07 2001
Spirit: Stallion of the Cimarron,"$80,000,000",May 24 2002
Star Wars Ep. II: Attack of the Clones,"$115,000,000",May 16 2002
Star Wars Ep. III: Revenge of the Sith,"$115,000,000",May 19 2005
Starship Troopers,"$100,000,000",Nov 07 1997
The Station Agent,"$500,000",Oct 03 2003
Stay Alive,"$20,000,000",Mar 24 2006
Small Time Crooks,"$18,000,000",May 19 2000
Steel,"$16,000,000",Aug 15 1997
How Stella Got Her Groove Back,"$20,000,000",Aug 14 1998
The Stepford Wives,"$100,000,000",Jun 11 2004
Stepmom,"$50,000,000",Dec 25 1998
Stomp the Yard,"$14,000,000",Jan 12 2007
Stranger Than Fiction,"$30,000,000",Nov 10 2006
The Legend of Suriyothai,"$9,000,000",Jun 20 2003
Stick It,"$20,000,000",Apr 28 2006
Stigmata,"$32,000,000",Sep 10 1999
A Stir of Echoes,"$12,000,000",Sep 10 1999
Street Kings,"$20,000,000",Apr 11 2008
Stuart Little,"$105,000,000",Dec 17 1999
Stuart Little 2,"$120,000,000",Jul 19 2002
Stealth,"$138,000,000",Jul 29 2005
Steamboy,"$20,000,000",Mar 18 2005
The Statement,"$27,000,000",Dec 12 2003
Stolen Summer,"$1,500,000",Mar 22 2002
Stop-Loss,"$25,000,000",Mar 28 2008
The Perfect Storm,"$120,000,000",Jun 30 2000
The Story of Us,"$50,000,000",Oct 15 1999
The Stepfather,"$20,000,000",Oct 16 2009
State of Play,"$60,000,000",Apr 17 2009
The Sisterhood of the Traveling Pants 2,"$27,000,000",Aug 06 2008
Sisterhood of the Traveling Pants,"$25,000,000",Jun 01 2005
Step Up,"$12,000,000",Aug 11 2006
The Straight Story,"$10,000,000",Oct 15 1999
Star Trek: First Contact,"$46,000,000",Nov 22 1996
Star Trek: Insurrection,"$70,000,000",Dec 11 1998
Star Trek: Nemesis,"$60,000,000",Dec 13 2002
Alex Rider: Operation Stormbreaker,"$40,000,000",Oct 13 2006
The Strangers,"$9,000,000",May 30 2008
Super Troopers,"$3,000,000",Feb 15 2002
Strangers with Candy,"$2,000,000",Jun 28 2006
Star Wars Ep. I: The Phantom Menace,"$115,000,000",May 19 1999
Stuck On You,"$55,000,000",Dec 12 2003
Step Up 2 the Streets,"$17,500,000",Feb 14 2008
The Sum of All Fears,"$68,000,000",May 31 2002
Sunshine State,"$5,600,000",Jun 21 2002
Supercross,"$30,000,000",Aug 17 2005
Surf's Up,"$100,000,000",Jun 08 2007
Surrogates,"$80,000,000",Sep 25 2009
Summer of Sam,"$22,000,000",Jul 02 1999
Savage Grace,"$4,600,000",May 28 2008
Saving Private Ryan,"$65,000,000",Jul 24 1998
S.W.A.T.,"$70,000,000",Aug 08 2003
Sideways,"$17,000,000",Oct 22 2004
Shall We Dance?,"$40,000,000",Oct 15 2004
Secret Window,"$40,000,000",Mar 12 2004
Swept Away,"$10,000,000",Oct 11 2002
Swimming Pool,"$7,800,000",Jul 04 2003
The Sidewalks of New York,"$1,000,000",Nov 21 2001
Swimfan,"$10,000,000",Sep 06 2002
Sweet November,"$40,000,000",Feb 16 2001
Sydney White,"$16,500,000",Sep 21 2007
Switchback,"$38,000,000",Oct 31 1997
Star Wars: The Clone Wars,"$8,500,000",Aug 15 2008
The Sweetest Thing,"$43,000,000",Apr 12 2002
"Six Days, Seven Nights","$80,000,000",Jun 12 1998
Sex Drive,"$19,000,000",Oct 17 2008
Sexy Beast,"$4,300,000",Jun 13 2001
Chinjeolhan geumjassi,"$4,500,000",May 05 2006
"Synecdoche, New York","$20,000,000",Oct 24 2008
Syriana,"$50,000,000",Nov 23 2005
Suspect Zero,"$27,000,000",Aug 27 2004
Tadpole,"$150,000",Jul 19 2002
Tailor of Panama,"$18,000,000",Mar 30 2001
Taken,"$25,000,000",Jan 30 2009
Take the Lead,"$30,000,000",Apr 01 2006
Talladega Nights: The Ballad of Ricky Bobby,"$73,000,000",Aug 04 2006
The Talented Mr. Ripley,"$40,000,000",Dec 25 1999
Tarnation,$218,Oct 06 2004
Taxman,"$3,500,000",Sep 17 1999
Thunderbirds,"$55,000,000",Jul 30 2004
The Best Man,"$9,000,000",Oct 22 1999
Book of Shadows: Blair Witch 2,"$15,000,000",Oct 27 2000
The Cave,"$30,000,000",Aug 26 2005
This Christmas,"$13,000,000",Nov 21 2007
The Core,"$85,000,000",Mar 28 2003
The Thomas Crown Affair,"$48,000,000",Aug 06 1999
The Damned United,"$6,400,000",Oct 09 2009
The Tale of Despereaux,"$60,000,000",Dec 19 2008
Team America: World Police,"$20,000,000",Oct 15 2004
Tea with Mussolini,"$14,000,000",May 14 1999
Tears of the Sun,"$75,000,000",Mar 07 2003
The Big Tease,"$4,000,000",Jan 28 2000
Not Another Teen Movie,"$15,000,000",Dec 14 2001
Teeth,"$2,000,000",Jan 18 2008
Bridge to Terabithia,"$25,000,000",Feb 16 2007
Terminator 3: Rise of the Machines,"$170,000,000",Jul 01 2003
Terminator Salvation: The Future Begins,"$200,000,000",May 21 2009
Transformers,"$151,000,000",Jul 03 2007
Transformers: Revenge of the Fallen,"$210,000,000",Jun 24 2009
"The Goods: Live Hard, Sell Hard","$10,000,000",Aug 14 2009
The Greatest Game Ever Played,"$25,000,000",Sep 30 2005
The Ghost Writer,"$45,000,000",Feb 19 2010
Joheunnom nabbeunnom isanghannom,"$10,000,000",Apr 23 2010
The Beach,"$50,000,000",Feb 11 2000
The Box,"$25,000,000",Nov 06 2009
The Wild Thornberrys,"$25,000,000",Dec 20 2002
Bug,"$4,000,000",May 25 2007
They,"$17,000,000",Nov 27 2002
The Eye,"$12,000,000",Feb 01 2008
The Fog,"$18,000,000",Oct 14 2005
The Thin Red Line,"$52,000,000",Dec 23 1998
Thirteen Days,"$80,000,000",Dec 25 2000
The Kid,"$65,000,000",Jul 07 2000
The Man,"$20,000,000",Sep 09 2005
House on Haunted Hill,"$19,000,000",Oct 29 1999
The One,"$49,000,000",Nov 02 2001
Gwoemul,"$12,000,000",Mar 09 2007
Thr3e,"$2,400,000",Jan 05 2007
Three to Tango,"$20,000,000",Oct 22 1999
The Thirteenth Floor,"$16,000,000",May 28 1999
The 13th Warrior,"$125,000,000",Aug 27 1999
The Tuxedo,"$60,000,000",Sep 27 2002
The Tigger Movie,"$20,000,000",Feb 11 2000
Timeline,"$80,000,000",Nov 26 2003
The Adventures of Tintin: Secret of the Unicorn,"$130,000,000",Dec 23 2011
Thirteen,"$2,000,000",Aug 20 2003
Titan A.E.,"$75,000,000",Jun 16 2000
Titanic,"$200,000,000",Dec 19 1997
The Kids Are All Right,"$4,000,000",Jul 09 2010
The League of Extraordinary Gentlemen,"$78,000,000",Jul 11 2003
The Time Machine,"$80,000,000",Mar 08 2002
Tomcats,"$11,000,000",Mar 30 2001
The Mist,"$13,000,000",Nov 21 2007
TMNT,"$35,000,000",Mar 23 2007
Tomorrow Never Dies,"$110,000,000",Dec 19 1997
The Royal Tenenbaums,"$28,000,000",Dec 14 2001
Lara Croft: Tomb Raider: The Cradle of Life,"$90,000,000",Jul 25 2003
Lara Croft: Tomb Raider,"$94,000,000",Jun 15 2001
The Day After Tomorrow,"$125,000,000",May 28 2004
Topsy Turvy,"$20,000,000",Dec 17 1999
Torque,"$40,000,000",Jan 16 2004
The Others,"$17,000,000",Aug 10 2001
The Town,"$37,000,000",Sep 17 2010
Toy Story 2,"$90,000,000",Nov 19 1999
Toy Story 3,"$200,000,000",Jun 18 2010
The Taking of Pelham 123,"$110,000,000",Jun 12 2009
Treasure Planet,"$100,000,000",Nov 27 2002
Traffic,"$48,000,000",Dec 27 2000
Thomas and the Magic Railroad,"$19,000,000",Jul 26 2000
Training Day,"$45,000,000",Oct 05 2001
Traitor,"$22,000,000",Aug 27 2008
Trapped,"$30,000,000",Sep 20 2002
The Ring,"$48,000,000",Oct 18 2002
Trippin',"$3,000,000",May 12 1999
Star Trek,"$140,000,000",May 08 2009
The Terminal,"$75,000,000",Jun 18 2004
Transamerica,"$1,000,000",Dec 02 2005
The Transporter 2,"$32,000,000",Sep 02 2005
The Transporter,"$21,000,000",Oct 11 2002
The Road,"$25,000,000",Nov 25 2009
Tropic Thunder,"$90,000,000",Aug 13 2008
Troy,"$150,000,000",May 14 2004
xXx,"$70,000,000",Aug 09 2002
Ta Ra Rum Pum,"$7,400,000",Apr 27 2007
The Truman Show,"$60,000,000",Jun 05 1998
Trust the Man,"$9,000,000",Aug 18 2006
Where the Truth Lies,"$25,000,000",Oct 14 2005
Tarzan,"$145,000,000",Jun 16 1999
The Secret in Their Eyes,"$3,500,000",Apr 16 2010
Tsotsi,"$3,000,000",Feb 24 2006
Teacher's Pet: The Movie,"$10,000,000",Jan 16 2004
The Time Traveler's Wife,"$39,000,000",Aug 14 2009
The Touch,"$20,000,000",Mar 31 2004
Tuck Everlasting,"$15,000,000",Oct 11 2002
Thumbsucker,"$4,000,000",Sep 16 2005
Turbulence,"$55,000,000",Jan 10 1997
Turistas,"$10,000,000",Dec 01 2006
The Wash,"$4,000,000",Nov 14 2001
Two Girls and a Guy,"$1,000,000",Apr 24 1998
The Wild,"$80,000,000",Apr 14 2006
Twilight,"$20,000,000",Mar 06 1998
Twisted,"$50,000,000",Feb 27 2004
The Twilight Saga: New Moon,"$50,000,000",Nov 20 2009
The Twilight Saga: Eclipse,"$68,000,000",Jun 30 2010
Twilight,"$37,000,000",Nov 21 2008
Town & Country,"$105,000,000",Apr 27 2001
200 Cigarettes,"$6,000,000",Feb 26 1999
The Texas Chainsaw Massacre: The Beginning,"$16,000,000",Oct 06 2006
The Texas Chainsaw Massacre,"$9,000,000",Oct 17 2003
Texas Rangers,"$38,000,000",Nov 30 2001
Tom yum goong,"$5,700,000",Sep 08 2006
Thank You For Smoking,"$7,500,000",Mar 17 2006
U2 3D,"$15,000,000",Jan 23 2008
U-571,"$62,000,000",Apr 21 2000
Undercover Brother,"$25,000,000",May 31 2002
Underclassman,"$25,000,000",Sep 02 2005
Dodgeball: A True Underdog Story,"$30,000,000",Jun 18 2004
The Ugly Truth,"$38,000,000",Jul 24 2009
Ultraviolet,"$30,000,000",Mar 03 2006
Unaccompanied Minors,"$25,000,000",Dec 08 2006
Unbreakable,"$73,243,106",Nov 22 2000
The Unborn,"$16,000,000",Jan 09 2009
Undead,"$750,000",Jul 01 2005
Underworld,"$22,000,000",Sep 19 2003
Undiscovered,"$9,000,000",Aug 26 2005
Undisputed,"$20,000,000",Aug 23 2002
Underworld: Evolution,"$45,000,000",Jan 20 2006
An Unfinished Life,"$30,000,000",Sep 09 2005
Unfaithful,"$50,000,000",May 08 2002
Universal Soldier II: The Return,"$40,000,000",Aug 20 1999
,"$3,700,000",Nov 03 2006
Danny the Dog,"$43,000,000",May 13 2005
Untraceable,"$35,000,000",Jan 25 2008
Up,"$175,000,000",May 29 2009
Up in the Air,"$30,000,000",Dec 04 2009
The Upside of Anger,"$12,000,000",Mar 11 2005
Urban Legend,"$14,000,000",Sep 25 1998
Urban Legends: Final Cut,"$15,000,000",Sep 22 2000
Urbania,"$225,000",Sep 15 2000
Valkyrie,"$75,000,000",Dec 25 2008
Valiant,"$35,000,000",Aug 19 2005
Valentine,"$10,000,000",Feb 02 2001
Cirque du Freak: The Vampire's Assistant,"$40,000,000",Oct 23 2009
The Legend of Bagger Vance,"$60,000,000",Nov 03 2000
Raising Victor Vargas,"$800,000",Mar 28 2003
In the Valley of Elah,"$23,000,000",Sep 14 2007
Venom,"$25,000,000",Sep 16 2005
Venus,"$6,000,000",Dec 21 2006
Vanity Fair,"$23,000,000",Sep 01 2004
V for Vendetta,"$50,000,000",Mar 17 2006
The Velocity of Gary,"$4,000,000",Jul 16 1999
Van Helsing,"$170,000,000",May 07 2004
The Village,"$71,682,975",Jul 30 2004
The Virgin Suicides,"$6,000,000",Apr 21 2000
Virus,"$75,000,000",Jan 15 1999
The Visitor,"$4,000,000",Apr 11 2008
A Very Long Engagement,"$55,000,000",Nov 26 2004
Vertical Limit,"$75,000,000",Dec 08 2000
Vampires,"$20,000,000",Oct 30 1998
Vanilla Sky,"$70,000,000",Dec 14 2001
Volcano,"$90,000,000",Apr 25 1997
Volver,"$9,400,000",Nov 03 2006
Kurtlar vadisi - Irak,"$8,300,000",Nov 24 2006
The Flintstones in Viva Rock Vegas,"$58,000,000",Apr 28 2000
Varsity Blues,"$16,000,000",Jan 15 1999
Valentine's Day,"$52,000,000",Feb 12 2010
National Lampoon's Van Wilder,"$6,000,000",Apr 05 2002
The Wackness,"$6,000,000",Jul 03 2008
Wag the Dog,"$15,000,000",Dec 25 1997
Wah-Wah,"$7,000,000",May 12 2006
Waiting...,"$1,125,000",Oct 07 2005
Waking Ned Devine,"$3,000,000",Nov 20 1998
WALL-E,"$180,000,000",Jun 27 2008
War,"$25,000,000",Aug 24 2007
"War, Inc.","$10,000,000",May 23 2008
Red Cliff,"$40,000,000",Nov 20 2009
The War of the Worlds,"$132,000,000",Jun 29 2005
Watchmen,"$138,000,000",Mar 06 2009
Water,"$3,000,000",Apr 28 2006
Waitress,"$1,500,000",May 02 2007
The Wendell Baker Story,"$8,000,000",May 18 2007
Winter's Bone,"$2,000,000",Jun 11 2010
Wonder Boys,"$35,000,000",Feb 23 2000
Waltz with Bashir,"$2,000,000",Dec 25 2008
White Chicks,"$20,000,000",Jun 23 2004
Wolf Creek,"$1,100,000",Dec 25 2005
The Wedding Planner,"$28,000,000",Jan 26 2001
Wonderland,"$5,500,000",Oct 03 2003
Taking Woodstock,"$29,000,000",Aug 26 2009
The Widow of St. Pierre,"$13,000,000",Mar 02 2001
The Wedding Crashers,"$40,000,000",Jul 15 2005
The Wedding Date,"$15,000,000",Feb 04 2005
Tumbleweeds,"$312,000",Nov 24 1999
We Own the Night,"$28,000,000",Oct 12 2007
We Were Soldiers,"$70,000,000",Mar 01 2002
The World's Fastest Indian,"$25,000,000",Dec 07 2005
Les herbes folles,"$14,000,000",Jun 25 2010
What a Girl Wants,"$25,000,000",Apr 04 2003
Whale Rider,"$4,300,000",Jun 06 2003
Walk Hard: The Dewey Cox Story,"$35,000,000",Dec 21 2007
Where the Heart Is,"$15,000,000",Apr 28 2000
Whipped,"$3,000,000",Sep 01 2000
Whip It,"$15,000,000",Oct 02 2009
Welcome Home Roscoe Jenkins,"$27,500,000",Feb 08 2008
When a Stranger Calls,"$15,000,000",Feb 03 2006
What Dreams May Come,"$80,000,000",Oct 02 1998
The White Countess,"$16,000,000",Dec 21 2005
Wicker Park,"$30,000,000",Sep 03 2004
Where the Wild Things Are,"$100,000,000",Oct 16 2009
Wild Things,"$20,000,000",Mar 20 1998
Wimbledon,"$35,000,000",Sep 17 2004
Windtalkers,"$115,000,000",Jun 14 2002
Because of Winn-Dixie,"$15,000,000",Feb 18 2005
Wing Commander,"$30,000,000",Mar 12 1999
Without Limits,"$25,000,000",Sep 11 1998
What Just Happened,"$27,000,000",Oct 17 2008
What Lies Beneath,"$90,000,000",Jul 21 2000
Walk the Line,"$29,000,000",Nov 18 2005
A Walk to Remember,"$11,000,000",Jan 25 2002
Willard,"$20,000,000",Mar 14 2003
Wild Wild West,"$175,000,000",Jun 30 1999
White Noise 2: The Light,"$10,000,000",Jan 08 2008
White Noise,"$10,000,000",Jan 07 2005
Wanted,"$75,000,000",Jun 27 2008
Woman on Top,"$8,000,000",Sep 22 2000
The Wolf Man,"$150,000,000",Feb 12 2010
X-Men Origins: Wolverine,"$150,000,000",May 01 2009
The Women,"$16,000,000",Sep 12 2008
Woo,"$13,000,000",May 08 1998
The Wood,"$6,000,000",Jul 16 1999
Without a Paddle,"$30,000,000",Aug 20 2004
What's the Worst That Could Happen?,"$30,000,000",Jun 01 2001
Winter Passing,"$3,500,000",Feb 17 2006
What Planet Are You From?,"$50,000,000",Mar 03 2000
Wordplay,"$500,000",Jun 16 2006
The Wrestler,"$6,000,000",Dec 17 2008
Walking Tall,"$56,000,000",Apr 02 2004
World Trade Center,"$65,000,000",Aug 09 2006
The Watcher,"$33,000,000",Sep 08 2000
The Weather Man,"$20,000,000",Oct 28 2005
Sky Captain and the World of Tomorrow,"$70,000,000",Sep 17 2004
Whiteout,"$35,000,000",Sep 11 2009
The Waterboy,"$23,000,000",Nov 06 1998
Wrong Turn,"$10,000,000",May 30 2003
What Women Want,"$65,000,000",Dec 15 2000
The Way of the Gun,"$9,000,000",Sep 08 2000
The X-Files: I Want to Believe,"$35,000,000",Jul 25 2008
The X Files: Fight the Future,"$66,000,000",Jun 19 1998
Extraordinary Measures,"$31,000,000",Jan 22 2010
X-Men,"$75,000,000",Jul 14 2000
X2,"$125,000,000",May 02 2003
X-Men: The Last Stand,"$150,000,000",May 26 2006
The Exploding Girl,"$40,000",Mar 12 2010
The Expendables,"$82,000,000",Aug 13 2010
XXX: State of the Union,"$60,000,000",Apr 29 2005
The Yards,"$20,000,000",Oct 20 2000
The Divine Secrets of the Ya-Ya Sisterhood,"$27,000,000",Jun 07 2002
You Can Count on Me,"$1,200,000",Nov 10 2000
Year One,"$60,000,000",Jun 19 2009
Yes,"$1,700,000",Jun 24 2005
Yes Man,"$50,000,000",Dec 19 2008
You Kill Me,"$4,000,000",Jun 22 2007
"Yours, Mine and Ours","$45,000,000",Nov 23 2005
You've Got Mail,"$65,000,000",Dec 18 1998
Youth in Revolt,"$18,000,000",Jan 08 2010
Y Tu Mama Tambien (And Your Mother Too),"$5,000,000",Mar 15 2002
Yu-Gi-Oh,"$20,000,000",Aug 13 2004
The Young Unknowns,"$800,000",Apr 11 2003
The Young Victoria,"$35,000,000",Dec 18 2009
Zathura,"$65,000,000",Nov 11 2005
Zero Effect,"$5,000,000",Jan 30 1998
Zoolander,"$28,000,000",Sep 28 2001
Zombieland,"$23,600,000",Oct 02 2009
Zack and Miri Make a Porno,"$24,000,000",Oct 31 2008
Zodiac,"$85,000,000",Mar 02 2007
Zoom,"$35,000,000",Aug 11 2006
The Legend of Zorro,"$80,000,000",Oct 28 2005
The Mask of Zorro,"$65,000,000",Jul 17 1998
